loan_type,loan_amount,action_taken,occupancy_type,census_tract,applicant_ethnicity_1,co_applicant_ethnicity_1,applicant_race_1,applicant_race_2,co_applicant_race_1,co_applicant_race_2,applicant_sex,co_applicant_sex,applicant_age,co_applicant_age,income,lien_status,applicant_credit_score_type,co_applicant_credit_score_type,origination_charges,discount_points,lender_credits,interest_rate,debt_to_income_ratio,combined_loan_to_value_ratio,loan_term,property_value,manufactured_home_secured_property_type,total_units,aus_1,reverse_mortgage,open_end_line_of_credit,manufactured_home_land_property_interest,total_loan_costs,total_points_and_fees,prepayment_penalty_term,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,multifamily_affordable_units,"('applicant_race_2',)","('co_applicant_race_2',)"
1,355000,1,1,37159051101,2,2,5,0,5,0,1,2,3,2,110,1,3,1,39,14,4,10,4,139,7,37,3,1,1,2,2,5,329,0,0,2,2,2,2,0,0,6
1,55000,4,1,37155960202,2,5,5,0,8,0,1,5,2,6,41,1,9,9,0,0,0,0,19,0,5,0,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
2,95000,4,1,18095001800,2,5,5,0,8,0,1,5,1,6,105,1,9,9,0,0,0,0,19,0,14,0,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
1,455000,1,1,47187050203,1,5,5,0,8,0,2,5,1,6,138,1,3,10,21,0,0,5,1,20,5,81,3,1,1,2,2,5,340,0,0,2,2,2,2,0,0,6
2,145000,1,1,42095010700,2,5,5,0,8,0,1,5,2,6,0,1,2,10,0,0,44,11,17,0,14,0,3,1,6,2,2,5,411,0,0,2,2,2,2,0,0,6
1,165000,1,1,24033800108,2,5,3,0,8,0,2,5,1,6,96,1,2,10,55,27,5,3,0,45,5,24,3,1,2,2,2,5,295,0,0,2,2,2,2,0,0,6
1,255000,3,1,37119005845,2,5,3,0,8,0,2,5,3,6,54,1,9,10,0,0,0,0,3,66,14,27,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
1,235000,1,1,12097042900,2,5,5,0,8,0,1,5,2,6,90,1,1,10,76,52,11,9,6,137,14,23,3,1,1,2,2,5,547,0,0,2,2,2,2,0,0,6
2,245000,1,1,51087200119,2,2,5,0,5,0,1,2,2,1,153,1,1,3,31,0,0,6,0,136,14,24,3,1,2,2,2,5,591,0,0,2,2,2,2,0,0,6
3,225000,4,1,22115950900,2,5,5,0,8,0,1,5,2,6,0,1,9,9,0,0,0,0,19,0,13,0,3,1,6,2,2,5,0,0,0,2,2,2,2,0,0,6
1,405000,1,1,36119000201,2,2,3,0,3,0,1,2,2,2,218,1,3,2,95,74,29,10,3,93,5,50,3,2,1,2,2,5,685,0,0,2,2,2,2,0,0,6
1,45000,3,1,37119005845,2,5,3,0,8,0,2,5,3,6,54,2,9,10,0,0,0,0,17,2,14,27,3,1,6,2,2,5,0,0,0,2,1,2,2,0,0,6
2,195000,1,1,42095016300,1,5,4,7,8,0,1,5,0,6,0,1,3,10,0,0,46,11,17,0,14,0,3,1,6,2,2,5,498,0,0,2,2,2,2,0,7,6
2,235000,4,1,12021010508,2,2,5,0,5,0,2,1,4,4,138,1,9,9,0,0,0,0,19,0,10,0,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
1,85000,1,1,12055961200,1,5,5,0,8,0,2,5,3,6,45,1,2,10,38,13,0,5,0,31,5,12,3,1,2,2,2,5,217,0,0,2,2,2,2,0,0,6
1,345000,1,1,8041005107,2,2,5,0,5,0,1,2,2,2,71,1,1,1,21,0,26,14,15,118,14,40,3,1,1,2,2,5,305,0,0,2,2,2,2,0,0,6
1,245000,1,1,39035130103,2,5,5,0,8,0,2,5,3,6,92,1,1,10,33,10,0,11,0,92,14,29,3,1,1,2,2,5,230,0,0,2,2,2,2,0,0,6
2,155000,1,1,37027030800,1,5,6,0,8,0,1,5,0,6,34,1,3,10,31,0,35,6,16,162,14,12,3,1,1,2,2,5,533,0,0,2,2,2,2,0,0,6
1,185000,1,1,45045002813,2,2,5,0,5,0,1,2,1,0,82,1,3,2,48,20,0,3,0,98,5,22,3,1,1,2,2,5,255,0,0,2,2,2,2,0,0,6
1,335000,1,1,37119005911,2,5,3,0,8,0,1,5,3,6,103,1,3,10,21,0,8,9,2,147,7,32,3,1,2,2,2,5,331,0,0,2,2,2,2,0,0,6
1,255000,1,1,37025041501,2,2,3,0,3,0,2,1,1,1,150,1,1,1,21,0,0,6,1,68,5,32,3,1,1,2,2,5,229,0,0,2,2,2,2,0,0,6
1,165000,1,1,4013112511,1,1,5,0,5,0,1,2,0,0,63,1,2,3,57,32,0,1,3,101,5,18,3,1,1,2,2,5,375,0,0,2,2,2,2,0,0,6
2,205000,4,1,36027140801,2,2,5,0,5,0,1,2,4,4,49,1,9,9,0,0,0,0,19,0,14,0,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
2,225000,1,1,18057110506,2,5,5,0,8,0,1,5,0,6,0,1,2,10,0,0,42,11,17,0,11,0,3,1,6,2,2,5,487,0,0,2,2,2,2,0,0,6
2,205000,1,1,51830370300,2,2,5,0,5,0,2,1,1,0,0,1,2,2,0,0,40,9,17,0,14,0,3,1,6,2,2,5,467,0,0,2,2,2,2,0,0,6
1,285000,1,1,39061021101,2,5,5,0,8,0,2,5,4,6,43,1,2,10,71,47,12,12,10,102,14,34,3,1,1,2,2,5,511,0,0,2,2,2,2,0,0,6
1,145000,4,3,51550021200,2,5,6,0,8,0,2,5,3,6,33,1,9,9,0,0,0,0,19,0,14,0,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
1,345000,1,1,45019005600,2,2,5,0,5,0,1,2,2,2,87,1,1,2,41,15,0,9,1,148,14,34,3,1,1,2,2,5,325,0,0,2,2,2,2,0,0,6
2,245000,1,1,34029720204,2,2,5,0,5,0,1,2,1,1,0,1,3,2,0,0,43,10,17,0,14,0,3,1,6,2,2,5,518,0,0,2,2,2,2,0,0,6
3,335000,1,1,37183054114,2,5,3,0,8,0,1,5,1,6,0,1,2,10,1,0,0,10,17,0,14,0,3,1,6,2,2,5,12,0,0,2,2,2,2,0,0,6
3,245000,1,1,37151030202,2,5,5,0,8,0,2,5,4,6,0,1,3,10,1,0,32,10,17,0,14,0,3,1,6,2,2,5,8,0,0,2,2,2,2,0,0,6
3,275000,1,1,13135050606,3,5,6,0,8,0,3,5,3,6,0,1,1,10,1,0,33,10,17,0,14,0,3,1,6,2,2,5,7,0,0,2,2,2,2,0,0,6
1,325000,2,1,8035014013,3,3,6,0,6,0,3,3,0,0,196,1,2,2,0,0,0,9,17,65,14,43,3,1,2,2,2,5,0,0,0,2,2,2,2,0,0,6
1,205000,1,1,22071003302,2,2,6,0,6,0,2,1,3,3,115,1,1,1,21,0,14,10,1,55,5,28,3,1,1,2,2,5,361,0,0,2,2,2,2,0,0,6
2,165000,1,1,18081610100,2,2,5,0,5,0,1,2,0,0,35,1,1,3,31,0,28,9,5,138,14,15,3,1,1,2,2,5,531,0,0,2,2,2,2,0,0,6
2,225000,1,1,37119005621,2,5,3,0,8,0,2,5,0,6,0,1,2,10,0,0,34,9,17,0,14,0,3,1,6,2,2,5,517,0,0,2,2,2,2,0,0,6
1,255000,1,1,6013351200,2,2,5,0,5,0,1,2,7,8,111,1,3,2,21,0,20,9,0,1,14,91,3,1,2,2,2,5,247,0,0,2,2,2,2,0,0,6
2,235000,1,1,37101040203,2,5,3,0,8,0,2,5,2,6,0,1,3,10,0,0,48,11,17,0,14,0,3,1,6,2,2,5,519,0,0,2,2,2,2,0,0,6
1,215000,3,1,34029731103,2,5,5,0,8,0,2,5,3,6,12,1,9,10,0,0,0,0,18,77,14,27,3,1,2,2,2,5,0,0,0,2,2,2,2,0,0,6
1,325000,4,1,34035053901,3,3,6,0,6,0,1,2,1,1,130,1,9,9,0,0,0,0,19,0,14,0,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
2,15000,4,1,13151070305,2,5,3,0,8,0,2,5,2,6,123,1,9,9,0,0,0,0,19,0,14,0,3,1,6,2,2,5,0,0,0,2,2,2,2,0,0,6
2,155000,3,1,48439113809,2,2,5,0,5,0,2,1,3,3,68,1,2,9,0,0,0,0,1,41,14,23,3,1,6,2,2,5,0,0,0,2,2,2,2,0,0,6
1,135000,4,1,29031880700,2,5,5,0,8,0,1,5,5,6,107,1,9,9,0,0,0,0,19,0,0,0,3,1,6,2,2,5,0,0,0,2,2,2,2,0,0,6
1,115000,4,1,12057011416,1,5,5,0,8,0,1,5,2,6,69,1,9,9,0,0,0,0,19,0,14,0,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
1,55000,3,3,12011060303,1,5,6,0,8,0,2,5,3,6,2,1,9,10,0,0,0,0,18,24,5,7,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
2,95000,3,1,37101041102,2,5,3,0,8,0,2,5,4,6,8,1,1,10,0,0,0,0,16,15,14,19,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
2,185000,4,1,13057090701,2,5,5,0,8,0,2,5,3,6,27,1,9,9,0,0,0,0,19,0,14,0,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
1,125000,3,2,13089023114,2,5,3,0,8,0,2,5,2,6,104,1,3,10,0,0,0,0,11,82,14,14,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
1,5000,4,3,6079010602,2,5,5,0,8,0,1,5,2,6,141,1,9,9,0,0,0,0,19,0,5,0,3,2,6,2,2,5,0,0,0,2,2,2,2,0,0,6
2,55000,4,1,48029171000,1,1,5,0,5,0,2,1,3,4,13,1,9,9,0,0,0,0,19,0,14,0,3,1,6,2,2,5,0,0,0,2,2,2,2,0,0,6
2,265000,4,1,12086010604,3,5,6,0,8,0,2,5,2,6,47,1,9,9,0,0,0,0,19,0,14,0,3,1,6,2,2,5,0,0,0,2,2,2,2,0,0,6
3,115000,4,1,48439111016,2,2,6,0,6,0,1,2,3,3,57,1,9,9,0,0,0,0,19,0,14,0,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
1,5000,4,1,12021010417,2,5,5,0,8,0,2,5,3,6,69,1,9,9,0,0,0,0,19,0,14,0,3,1,6,2,2,5,0,0,0,2,2,2,2,0,0,6
1,205000,4,1,12035060208,2,2,5,0,6,0,1,2,3,2,146,1,9,9,0,0,0,0,19,0,14,0,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
1,215000,4,1,48141001107,2,5,5,0,8,0,2,5,3,6,55,1,9,9,0,0,0,0,19,0,14,0,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
1,205000,4,2,32003003249,2,5,3,0,8,0,2,5,7,6,41,1,9,9,0,0,0,0,19,0,14,0,3,1,6,2,2,5,0,0,0,2,2,2,2,0,0,6
